stop_name,stop_lat,stop_lon,stop_id,stop_desc,zone_id,location_type,parent_station,platform_code
Astha Green City,22.1991,70.800175,5,Astha Green City,A,1,5,1
Astha Residency,22.33474087,70.73971714,228,Astha Residency,A,1,228,1
Astha sangrila,22.343471,70.78442839,1275,Astha sangrila,A,1,1275,1
Astron Chowk/Mahavir Chowk,22.291485,70.78801,115,Astron Chowk/Mahavir Chowk,A,1,115,1
Astron Society,22.284605,70.78161,293,Astron Society,A,1,293,1
Atal Sarovar Entrance Gate,22.3183505,70.72821653,1212,Atal Sarovar Entrance Gate,A,1,1212,1
Atmiya College/Central School,22.2831,70.767685,109,Atmiya College/Central School,A,1,109,1
Axar city,22.27844272,70.84158617,1402,Axar city,A,1,1402,1
Ayodhya Chowk,22.32278356,70.76793387,1270,Ayodhya Chowk,A,1,1270,1
Azad Chowk,22.29918,70.781305,203,Azad Chowk,A,1,203,1
B T Savani hospital,22.2874,70.7522,123,B T Savani hospital,A,1,123,1
B.T.Savani (Kidney) Hospital,22.28761214,70.75289519,160,B.T.Savani (Kidney) Hospital,A,1,160,1
Babariya Colony,22.264375,70.80519,362,Babariya Colony,A,1,362,1
Bage mahamadpark,22.2235588,70.7920847,1079,Bage mahamadpark,A,1,1079,1
Bahumadi bhavan,22.3025,70.793225,202,Bahumadi bhavan,A,1,202,1
BajrangWadi,22.319005,70.78461,214,BajrangWadi,A,1,214,1
BajrangWadi circle,22.317615,70.77998,398,BajrangWadi circle,A,1,398,1
Balaji steel,22.23406598,70.80181518,1308,Balaji steel,A,1,1308,1
BalajiPark/Satelite Park,22.2947,70.75861,345,BalajiPark/Satelite Park,A,1,345,1
Balak Hanuman Chowk,22.30371997,70.8195009,341,Balak Hanuman Chowk,A,1,341,1
Bapa Sitaram Chowk,22.274194,70.77521005,265,Bapa Sitaram Chowk,A,1,265,1
Bapa Sitaram Chowk Crossing,22.26237966,70.78223254,1235,Bapa Sitaram Chowk Crossing,A,1,1235,1
Bedi marketing yard,22.35232,70.80481,489,Bedi marketing yard,A,1,489,1
Bedi village,22.346285,70.80821,490,Bedi village,A,1,490,1
Bhagirath Society - Marketing Yard,22.304975,70.82988,336,Bhagirath Society - Marketing Yard,A,1,336,1
Bhaktinagar Circle,22.28021,70.80219,42,Bhaktinagar Circle,A,1,42,1
Bhaktinagar Station,22.28298,70.79479,473,Bhaktinagar Station,A,1,473,1
Bharad Engineering College,22.236775,70.90148,133,Bharad Engineering College,A,1,133,1
Bhimrav Nagar,22.276175,70.84248,144,Bhimrav Nagar,A,1,144,1
Bhimrav Nagar/Om Residency,22.270225,70.76108,456,Bhimrav Nagar/Om Residency,A,1,456,1
Bhomeshvar,22.31302307,70.79016724,1568,Bhomeshvar,A,1,1568,1
Bhomeshvar (madadev temple),22.31357749,70.78804307,1567,Bhomeshvar (madadev temple),A,1,1567,1
Bhomeshwer,22.31301083,70.79018568,1424,Bhomeshwer,A,1,1424,1
Bhomeshwer/Airport,22.31648,70.787685,212,Bhomeshwer/Airport,A,1,212,1
Brahmani Hall,22.25678,70.81671,67,Brahmani Hall,A,1,67,1
Brahmasamaj Chowk,22.301,70.7717,206,Brahmasamaj Chowk,A,1,206,1
Buddha Vihar,22.25930249,70.73401892,520,Buddha Vihar,A,1,520,1
C.M. Avash  (Munjka),22.29123384,70.73153995,1209,C.M. Avash  (Munjka),A,1,1209,1
CDS BIPIN RAVAT UNDER BRIDGE,22.28351875,70.78935664,1465,CDS BIPIN RAVAT UNDER BRIDGE,A,1,1465,1
Central Ware House,22.32452333,70.79605,31,Central Ware House,A,1,31,1
Champak Nagar - Pani no Ghodo,22.30312674,70.81734399,342,Champak Nagar - Pani no Ghodo,A,1,342,1
Chandra Dileswar Mahadev Road,22.32701422,70.73501677,1214,Chandra Dileswar Mahadev Road,A,1,1214,1
Chandrana Marketing,22.3232719,70.8488001,1292,Chandrana Marketing,A,1,1292,1
Chaudhary High School,22.3020831,70.79837658,232,Chaudhary High School,A,1,232,1
Chitralekha Chowk,22.29658,70.795985,130,Chitralekha Chowk,A,1,130,1
Chunarvad Chowk,22.29370814,70.8202912,332,Chunarvad Chowk,A,1,332,1
Copper Elegance,22.26432859,70.76541453,1228,Copper Elegance,A,1,1228,1
Copper Sand,22.26139654,70.76987731,1230,Copper Sand,A,1,1230,1
