trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD12,06:12:50,06:14:00,19_1,13
WD12,06:14:00,06:15:10,22_1,14
WD12,06:15:10,06:16:20,48_1,15
WD12,06:16:20,06:17:30,37_1,16
WD12,06:17:30,06:18:40,30_1,17
WD12,06:18:40,06:19:50,35_1,18
WD12,06:19:50,06:21:00,240_1,19
WD12,06:21:00,06:22:10,137_1,20
WD12,06:22:10,06:23:20,295_1,21
WD12,06:23:20,06:24:30,194_1,22
WD12,06:24:30,06:25:40,281_1,23
WD12,06:25:40,06:26:50,33_1,24
WD12,06:26:50,06:28:00,348_1,25
WD12,06:28:00,06:29:10,4_1,26
WD12,06:29:10,06:30:20,10_1,27
WD12,06:30:20,06:31:30,12_1,28
WD12,06:31:30,06:32:40,11_1,29
WD12,06:32:40,06:33:50,498_1,30
WD12,06:33:50,06:35:00,366_1,31
WD12,06:35:00,06:36:10,347_1,32
WD12,06:36:10,06:37:20,294_1,33
WD12,06:37:20,07:10:00,81_1,34
WD13,06:05:00,06:05:00,41_1,1
WD13,06:05:00,06:06:10,45_1,2
WD13,06:06:10,06:07:20,16_1,3
WD13,06:07:20,06:08:30,5_1,4
WD13,06:08:30,06:09:40,14_1,5
WD13,06:09:40,06:10:50,355_1,6
WD13,06:10:50,06:12:00,20_1,7
WD13,06:12:00,06:13:10,15_1,8
WD13,06:13:10,06:14:20,13_1,9
WD13,06:14:20,06:15:30,42_1,10
WD13,06:15:30,06:16:40,375_1,11
WD13,06:16:40,06:17:50,309_1,12
WD13,06:17:50,06:19:00,19_1,13
WD13,06:19:00,06:20:10,22_1,14
WD13,06:20:10,06:21:20,48_1,15
WD13,06:21:20,06:22:30,37_1,16
WD13,06:22:30,06:23:40,30_1,17
WD13,06:23:40,06:24:50,35_1,18
WD13,06:24:50,06:26:00,240_1,19
WD13,06:26:00,06:27:10,137_1,20
WD13,06:27:10,06:28:20,295_1,21
WD13,06:28:20,06:29:30,194_1,22
WD13,06:29:30,06:30:40,281_1,23
WD13,06:30:40,06:31:50,33_1,24
WD13,06:31:50,06:33:00,348_1,25
WD13,06:33:00,06:34:10,4_1,26
WD13,06:34:10,06:35:20,10_1,27
WD13,06:35:20,06:36:30,12_1,28
WD13,06:36:30,06:37:40,11_1,29
WD13,06:37:40,06:38:50,498_1,30
WD13,06:38:50,06:40:00,366_1,31
WD13,06:40:00,06:41:10,347_1,32
WD13,06:41:10,06:42:20,294_1,33
WD13,06:42:20,07:15:00,81_1,34
WD14,06:10:00,06:10:00,41_1,1
WD14,06:10:00,06:11:10,45_1,2
WD14,06:11:10,06:12:20,16_1,3
WD14,06:12:20,06:13:30,5_1,4
WD14,06:13:30,06:14:40,14_1,5
WD14,06:14:40,06:15:50,355_1,6
WD14,06:15:50,06:17:00,20_1,7
WD14,06:17:00,06:18:10,15_1,8
WD14,06:18:10,06:19:20,13_1,9
WD14,06:19:20,06:20:30,42_1,10
WD14,06:20:30,06:21:40,375_1,11
WD14,06:21:40,06:22:50,309_1,12
WD14,06:22:50,06:24:00,19_1,13
WD14,06:24:00,06:25:10,22_1,14
WD14,06:25:10,06:26:20,48_1,15
WD14,06:26:20,06:27:30,37_1,16
WD14,06:27:30,06:28:40,30_1,17
WD14,06:28:40,06:29:50,35_1,18
WD14,06:29:50,06:31:00,240_1,19
WD14,06:31:00,06:32:10,137_1,20
WD14,06:32:10,06:33:20,295_1,21
WD14,06:33:20,06:34:30,194_1,22
WD14,06:34:30,06:35:40,281_1,23
WD14,06:35:40,06:36:50,33_1,24
WD14,06:36:50,06:38:00,348_1,25
WD14,06:38:00,06:39:10,4_1,26
WD14,06:39:10,06:40:20,10_1,27
WD14,06:40:20,06:41:30,12_1,28
WD14,06:41:30,06:42:40,11_1,29
WD14,06:42:40,06:43:50,498_1,30
WD14,06:43:50,06:45:00,366_1,31
WD14,06:45:00,06:46:10,347_1,32
WD14,06:46:10,06:47:20,294_1,33
WD14,06:47:20,07:20:00,81_1,34
WD15,06:15:00,06:15:00,41_1,1
WD15,06:15:00,06:16:10,45_1,2
WD15,06:16:10,06:17:20,16_1,3
WD15,06:17:20,06:18:30,5_1,4
WD15,06:18:30,06:19:40,14_1,5
WD15,06:19:40,06:20:50,355_1,6
WD15,06:20:50,06:22:00,20_1,7
WD15,06:22:00,06:23:10,15_1,8
WD15,06:23:10,06:24:20,13_1,9
WD15,06:24:20,06:25:30,42_1,10
WD15,06:25:30,06:26:40,375_1,11
WD15,06:26:40,06:27:50,309_1,12
WD15,06:27:50,06:29:00,19_1,13
WD15,06:29:00,06:30:10,22_1,14
WD15,06:30:10,06:31:20,48_1,15
WD15,06:31:20,06:32:30,37_1,16
WD15,06:32:30,06:33:40,30_1,17
WD15,06:33:40,06:34:50,35_1,18
WD15,06:34:50,06:36:00,240_1,19
WD15,06:36:00,06:37:10,137_1,20
WD15,06:37:10,06:38:20,295_1,21
WD15,06:38:20,06:39:30,194_1,22
WD15,06:39:30,06:40:40,281_1,23
WD15,06:40:40,06:41:50,33_1,24
WD15,06:41:50,06:43:00,348_1,25
WD15,06:43:00,06:44:10,4_1,26
WD15,06:44:10,06:45:20,10_1,27
WD15,06:45:20,06:46:30,12_1,28
WD15,06:46:30,06:47:40,11_1,29
WD15,06:47:40,06:48:50,498_1,30
WD15,06:48:50,06:50:00,366_1,31
WD15,06:50:00,06:51:10,347_1,32
WD15,06:51:10,06:52:20,294_1,33
WD15,06:52:20,07:25:00,81_1,34
WD16,06:25:00,06:25:00,41_1,1
WD16,06:25:00,06:26:10,45_1,2
WD16,06:26:10,06:27:20,16_1,3
WD16,06:27:20,06:28:30,5_1,4
WD16,06:28:30,06:29:40,14_1,5
WD16,06:29:40,06:30:50,355_1,6
WD16,06:30:50,06:32:00,20_1,7
WD16,06:32:00,06:33:10,15_1,8
WD16,06:33:10,06:34:20,13_1,9
WD16,06:34:20,06:35:30,42_1,10
WD16,06:35:30,06:36:40,375_1,11
